weather_severity,geopolitical_risk,route_complexity,carrier_reliability,port_congestion,seasonal_demand,lead_time_variance,supplier_risk_score,customs_complexity,historical_disruptions,disrupted
10,5.0,3.9538866666666665,1.35,3.331384058427125,7.0,2.9643009128978592,4.439891341306748,3.78805591042329,1.8690959159365765,1
8,7.5,9.523573333333333,4.08,5.300990459772599,4.0,3.9841790907298194,3.3467450874421383,6.22324954460853,2.5844190793941135,1
5,5.6,7.409273333333333,3.2699999999999996,4.703549412573277,4.0,2.7400484517969557,2.8375138009515837,3.2657644545511584,3.8175704283481835,0
10,0.8,6.1203666666666665,1.6800000000000004,5.161081724373436,7.0,1.3479086827780908,4.737723545038806,6.869956146244969,3.944273759963579,1
3,1.9,1.8415133333333333,2.59,4.698197939198478,6.0,1.3281332328481392,2.939161109474328,3.149457121453481,2.995137763045168,1
5,2.2,1.84128,1.31,4.0648884232065345,6.0,3.7530786116527253,2.4102437327337025,3.2867098254316973,1.0154271295827937,1
8,2.6,0.8948066666666666,0.19000000000000017,2.5849528146336356,4.0,3.8217224834555283,3.3998472458396605,4.876522651445043,1.763177220357481,0
3,5.7,8.706366666666666,4.42,2.174916803563539,4.0,1.6392069649054353,4.371581830694556,6.881541698377907,1.2660545350646677,1
0,5.0,6.144113333333333,1.4500000000000002,2.1370048239703707,8.0,3.628091467323405,2.3966827488438147,4.508132540410587,2.0746371413305273,1
8,2.0,7.178033333333333,3.85,5.52749094689928,5.0,4.580245104931225,4.683315731073909,5.5861968653142196,1.2281024182780662,1
5,0.7,0.53232,2.9300000000000006,4.898224739654801,4.0,1.6914382332665157,4.380817430753353,4.384912787707271,2.64315322381172,0
3,1.7,9.709126666666666,4.84,3.0734518893202583,6.0,2.211979555493873,3.153781628533549,4.139202920836352,3.8582035315183196,1
3,9.8,8.38028,4.32,5.434764980712663,4.0,1.911564908632339,2.3401329878580337,5.317653418959813,3.192441663789959,1
8,4.7,2.385946666666667,3.3999999999999995,5.290434584075106,4.0,4.002804286385819,3.2300428898936753,6.604131686750487,1.5212641006036003,1
8,8.7,2.0909733333333334,3.2899999999999996,3.5682282085984336,4.0,3.461483149280134,2.800472681494859,3.3302972711124967,2.6410533227037902,1
10,8.5,2.1062466666666664,0.5000000000000004,2.736841555346604,4.0,1.405737771716407,2.915326594271554,5.550457029218798,2.4537574869365923,1
0,5.1,3.27434,1.29,5.462585488265195,6.0,4.776411664169926,4.910294329742689,6.7844576320344085,2.0119117949079333,0
8,7.1,5.4059800000000005,0.14000000000000012,2.0778206003962416,6.0,3.120415181500053,4.176269700844388,4.0096226480641075,2.1503168195400857,1
3,1.9,4.5088,1.9999999999999996,4.106817586978476,4.0,3.16950465049755,2.7199606303416557,6.759451684672001,1.7307124348962546,0
3,6.9,3.1485466666666664,3.79,2.1253389279754478,6.0,3.9967014954708158,4.97215211062756,3.6183878510591683,2.753535952392874,0
5,2.7,6.247913333333334,3.3599999999999994,4.083984044388432,4.0,2.773752044975362,3.9567913964554906,3.609212389070651,3.0680180137213395,0
8,8.3,1.6817733333333333,3.3999999999999995,5.608355477470267,5.0,3.758158985296219,2.3634829057489277,4.850995051178673,1.809633550791641,1
5,0.8,3.1574000000000004,3.3699999999999997,3.06344640348324,5.0,4.500210155171663,2.8614239517315947,6.374541328819856,1.8006687284959861,1
10,7.7,3.874833333333333,1.6400000000000003,2.8320139253091727,7.0,4.836816220091074,2.190165251544929,3.904188025688793,2.109846324595988,1
0,1.0,4.742006666666667,2.3499999999999996,5.522288410836705,10.0,4.525356074276342,2.453013473597691,6.1797252660039454,1.8325715237248321,0
10,8.8,7.9233666666666664,3.0700000000000003,3.375845620462195,5.0,1.078494653675869,3.7469166545196804,6.070202669175393,1.8728489892569768,1
